,cinahl_no,medline_no,cinahl_title,medline_title,cinahl_author,medline_author,not_dup
802,1388,12118,Risk factors for persistent problems following whiplash injury: results of a systematic review and meta-analysis.,Risk factors for persistent problems following acute whiplash injury: update of a systematic review and meta-analysis.,"Walton DM; Pretty J; Macdermid JC; Teasell RW; Journal of Orthopaedic & Sports Physical Therapy, 2009 May; 39 (5): 334-50. (journal article - equations & formulas, questionnaire/scale, research, systematic review, tables/charts) ISSN: 0190-6011 PMID: 19411766 CINAHL AN: 201028288","Walton DM(1), Macdermid JC, Giorgianni AA, Mascarenhas JC, West SC, Zammit CA.",
803,1390,25653,Early interventions involving parents to improve neurodevelopmental outcomes of premature infants: a meta-analysis.,Early interventions involving parents to improve neurodevelopmental outcomes of premature infants: a meta-analysis.,"Vanderveen JA; Bassler D; Robertson CM; Kirpalani H; Journal of Perinatology, 2009 May; 29 (5): 343-51. (journal article - research, systematic review, tables/charts) ISSN: 0743-8346 PMID: 19148113 CINAHL AN: 201026865","Vanderveen JA(1), Bassler D, Robertson CM, Kirpalani H.",
804,1396,25681,The effects of exercise interventions on quality of life in clinical and healthy populations; a meta-analysis.,The effects of exercise interventions on quality of life in clinical and healthy  populations; a meta-analysis.,"Gillison FB; Skevington SM; Sato A; Standage M; Evangelidou S; Social Science & Medicine, 2009 May; 68 (9): 1700-10. (journal article - equations & formulas, research, systematic review, tables/charts) ISSN: 0277-9536 PMID: 19297065 CINAHL AN: 201029973","Gillison FB(1), Skevington SM, Sato A, Standage M, Evangelidou S.",
805,1397,25685,Safety of ultrasonography in pregnancy: WHO systematic review of the literature and meta-analysis.,Safety of ultrasonography in pregnancy: WHO systematic review of the literature and meta-analysis.,"Torloni MR; Vedmedovska N; Merialdi M; BetrÃ¡n AP; Allen T; GonzÃ¡lez R; Platt LD; ISUOG-WHO Fetal Growth Study Group; Ultrasound in Obstetrics & Gynecology, 2009 May; 33 (5): 599-608. (journal article - meta analysis, research, systematic review) ISSN: 0960-7692 PMID: 19291813 CINAHL AN: 201027039","Torloni MR(1), Vedmedovska N, Merialdi M, BetrÃ¡n AP, Allen T, GonzÃ¡lez R, Platt LD; ISUOG-WHO Fetal Growth Study Group.",
806,1398,25537,Evaluating the impact of study-level factors on warfarin control in U.S.-based primary studies: a meta-analysis.,Evaluating the impact of study-level factors on warfarin control in U.S.-based primary studies: a meta-analysis.,"Cios DA; Baker WL; Sander SD; Phung OJ; Coleman CI; American Journal of Health-System Pharmacy, 2009 May 15; 66 (10): 916-25. (journal article - research, systematic review, tables/charts) ISSN: 1079-2082 PMID: 19420310 CINAHL AN: 201028736","Cios DA(1), Baker WL, Sander SD, Phung OJ, Coleman CI.",
807,1399,25609,Endobronchial ultrasound-guided transbronchial needle aspiration for staging of lung cancer: a systematic review and meta-analysis.,Endobronchial ultrasound-guided transbronchial needle aspiration for staging of lung cancer: a systematic review and meta-analysis.,"Gu P; Zhao YZ; Jiang LY; Zhang W; Xin Y; Han BH; European Journal of Cancer, 2009 May; 45 (8): 1389-96. (journal article - research, systematic review) ISSN: 0959-8049 PMID: 19124238 CINAHL AN: 201029968","Gu P(1), Zhao YZ, Jiang LY, Zhang W, Xin Y, Han BH.",
808,1403,25401,Meta-analysis of health and demographic correlates of stigma towards people living with HIV.,Meta-analysis of health and demographic correlates of stigma towards people living with HIV.,"Logie C; Gadalla TM; AIDS Care, 2009 Jun; 21 (6): 742-53. (journal article - research, systematic review, tables/charts) ISSN: 0954-0121 PMID: 19806490 CINAHL AN: 201032000","Logie C(1), Gadalla TM.",
809,1404,25402,Effectiveness of peer education interventions for HIV prevention in developing countries: a systematic review and meta-analysis.,Effectiveness of peer education interventions for HIV prevention in developing countries: a systematic review and meta-analysis.,"Medley A; Kennedy C; O'Reilly K; Sweat M; AIDS Education & Prevention, 2009 Jun; 21 (3): 181-206. (journal article - research, systematic review, tables/charts) ISSN: 0899-9546 PMID: 19519235 CINAHL AN: 201033770","Medley A(1), Kennedy C, O'Reilly K, Sweat M.",
810,1413,26226,Two decades of nurse-led research on smoking during pregnancy and postpartum: concept development to intervention trials.,Two decades of nurse-led research on smoking during pregnancy and postpartum: concept development to intervention trials.,"Gaffney KF; Baghi H; Sheehan SE; Annual Review of Nursing Research, 2009; 27: 195-219. (journal article - research, systematic review, tables/charts) ISSN: 0739-6686 PMID: 20192105 CINAHL AN: 201052109","Gaffney KF(1), Baghi H, Sheehan SE.",
811,1414,26235,Muscle strengthening is not effective in children and adolescents with cerebral palsy: a systematic review.,Muscle strengthening is not effective in children and adolescents with cerebral palsy: a systematic review.,"Scianni A; Butler JM; Ada L; Teixeira-Salmela LF; Australian Journal of Physiotherapy, 2009; 55 (2): 81-7. (journal article - research, systematic review, tables/charts) ISSN: 0004-9514 PMID: 19463078 CINAHL AN: 201031293","Scianni A(1), Butler JM, Ada L, Teixeira-Salmela LF.",
812,1415,26234,Urinary incontinence is associated with an increase in falls: a systematic review.,Urinary incontinence is associated with an increase in falls: a systematic review.,"Chiarelli PE; Mackenzie LA; Osmotherly PG; Australian Journal of Physiotherapy, 2009; 55 (2): 89-95. (journal article - research, systematic review, tables/charts) ISSN: 0004-9514 PMID: 19463079 CINAHL AN: 201031293","Chiarelli PE(1), Mackenzie LA, Osmotherly PG.",
813,1417,25435,Prebiotic supplementation of formula in preterm neonates: a systematic review and meta-analysis of randomised controlled trials.,Prebiotic supplementation of formula in preterm neonates: a systematic review and meta-analysis of randomised controlled trials.,"Srinivasjois R; Rao S; Patole S; Clinical Nutrition, 2009 Jun; 28 (3): 237-42. (journal article - research, systematic review) ISSN: 0261-5614 PMID: 19359074 CINAHL AN: 201032568","Srinivasjois R(1), Rao S, Patole S.",
814,1418,25440,A systematic review on clinical benefits of continuous administration of beta-lactam antibiotics.,A systematic review on clinical benefits of continuous administration of beta-lactam antibiotics.,"Roberts JA; Webb S; Paterson D; Ho KM; Lipman J; Critical Care Medicine, 2009 Jun; 37 (6): 2071-8. (journal article - research, systematic review) ISSN: 0090-3493 PMID: 19384201 CINAHL AN: 201028491","Roberts JA(1), Webb S, Paterson D, Ho KM, Lipman J.",
815,1421,25448,Does the use of probiotics/synbiotics prevent postoperative infections in patients undergoing abdominal surgery? A meta-analysis of randomized controlled trials.,Does the use of probiotics/synbiotics prevent postoperative infections in patients undergoing abdominal surgery? A meta-analysis of randomized controlled trials.,"Pitsouni E; Alexiou V; Saridakis V; Peppas G; Falagas ME; European Journal of Clinical Pharmacology, 2009 Jun; 65 (6): 561-70. (journal article - randomized controlled trial, research, systematic review, tables/charts) ISSN: 0031-6970 PMID: 19326107 CINAHL AN: 201031347","Pitsouni E(1), Alexiou V, Saridakis V, Peppas G, Falagas ME.",
816,1424,25457,Ultrasound tests of ovarian reserve; a systematic review of accuracy in predicting fertility outcomes.,Ultrasound tests of ovarian reserve; a systematic review of accuracy in predicting fertility outcomes.,"Gibreel A; Maheshwari A; Bhattacharya S; Johnson NP; Human Fertility, 2009 Jun; 12 (2): 95-106. (journal article - research, systematic review, tables/charts) ISSN: 1464-7273 PMID: 19802960 CINAHL AN: 201031995","Gibreel A(1), Maheshwari A, Bhattacharya S, Johnson NP.",
817,1425,25460,The effect of education and home safety equipment on childhood thermal injury prevention: meta-analysis and meta-regression.,The effect of education and home safety equipment on childhood thermal injury prevention: meta-analysis and meta-regression.,"Kendrick D; Smith S; Sutton AJ; Mulvaney C; Watson M; Coupland C; Mason-Jones A; Injury Prevention, 2009 Jun; 15 (3): 197-204. (journal article - research, systematic review, tables/charts) ISSN: 1353-8047 PMID: 19494100 CINAHL AN: 201032128","Kendrick D(1), Smith S, Sutton AJ, Mulvaney C, Watson M, Coupland C, Mason-Jones  A.",
818,1426,26300,Statistical study of 35delG mutation of GJB2 gene: A meta-analysis of carrier frequency.,Statistical study of 35delG mutation of GJB2 gene: a meta-analysis of carrier frequency.,"Mahdieh N; Rabbani B; International Journal of Audiology, 2009 Jun; 48 (6): 363-70. (journal article - equations & formulas, pictorial, research, systematic review, tables/charts) ISSN: 1499-2027 PMID: 19925344 CINAHL AN: 201032129","Mahdieh N(1), Rabbani B.",
819,1427,25463,Acupuncture for Alzheimer's disease: a systematic review.,Acupuncture for Alzheimer's disease: a systematic review.,"Lee MS; Shin B; Ernst E; International Journal of Clinical Practice, 2009 Jun; 63 (6): 874-9. (journal article - research, systematic review, tables/charts) ISSN: 1368-5031 PMID: 19490197 CINAHL AN: 201028821","Lee MS(1), Shin BC, Ernst E.",
820,1429,25485,Risk of gastrointestinal perforation in patients with cancer treated with bevacizumab: a meta-analysis.,Risk of gastrointestinal perforation in patients with cancer treated with bevacizumab: a meta-analysis.,"Hapani S; Chu D; Wu S; Lancet Oncology, 2009 Jun; 10 (6): 559-68. (journal article - research, systematic review) ISSN: 1470-2045 PMID: 19482548 CINAHL AN: 201030889","Hapani S(1), Chu D, Wu S.",
821,1431,25498,Efficacy of pneumococcal vaccination in children younger than 24 months: a meta-analysis.,Efficacy of pneumococcal vaccination in children younger than 24 months: a meta-analysis.,"Pavia M; Bianco A; Nobile CGA; Marinelli P; Angelillo IF; Pediatrics, 2009 Jun; 123 (6): e1103-10. (journal article - research, systematic review, tables/charts) ISSN: 0031-4005 PMID: 19482744 CINAHL AN: 201030744","Pavia M(1), Bianco A, Nobile CG, Marinelli P, Angelillo IF.",
822,1432,25504,Working memory in schizophrenia: a meta-analysis.,Working memory in schizophrenia: a meta-analysis.,"Forbes NF; Carrick LA; McIntosh AM; Lawrie SM; Psychological Medicine, 2009 Jun; 39 (6): 889-905. (journal article - editorial, meta analysis, research, systematic review) ISSN: 0033-2917 PMID: 18945379 CINAHL AN: 201061666","Forbes NF, Carrick LA, McIntosh AM, Lawrie SM.",
823,1433,26395,The antidepressive effects of exercise: a meta-analysis of randomized trials.,The antidepressive effects of exercise: a meta-analysis of randomized trials.,"Rethorst CD; Wipfli BM; Landers DM; Sports Medicine, 2009; 39 (6): 491-511. (journal article - equations & formulas, research, systematic review, tables/charts) ISSN: 0112-1642 PMID: 19453207 CINAHL AN: 201031290","Rethorst CD(1), Wipfli BM, Landers DM.",
824,1444,25381,"Birth weight, early weight gain, and subsequent risk of type 1 diabetes: systematic review and meta-analysis.","Birth weight, early weight gain, and subsequent risk of type 1 diabetes: systematic review and meta-analysis.","Harder T; Roepke K; Diller N; Stechling Y; Dudenhausen JW; Plagemann A; American Journal of Epidemiology, 2009 Jun 15; 169 (12): 1428-36. (journal article - research, systematic review) ISSN: 0002-9262 PMID: 19363100 CINAHL AN: 201030895","Harder T(1), Roepke K, Diller N, Stechling Y, Dudenhausen JW, Plagemann A.",
825,1445,25222,"A meta-analysis of marijuana, cocaine and opiate toxicology study findings among homicide victims.","A meta-analysis of marijuana, cocaine and opiate toxicology study findings among  homicide victims.","Kuhns JB; Wilson DB; Maguire ER; Ainsworth SA; Clodfelter TA; Addiction, 2009 Jul; 104 (7): 1122-31. (journal article - research, systematic review, tables/charts) ISSN: 0965-2140 PMID: 19438418 CINAHL AN: 201031368","Kuhns JB(1), Wilson DB, Maguire ER, Ainsworth SA, Clodfelter TA.",
826,1446,25250,Tumour necrosis factor (--308A) polymorphism in very preterm infants with bronchopulmonary dysplasia: a meta-analysis.,Tumour necrosis factor (--308A) polymorphism in very preterm infants with bronchopulmonary dysplasia: a meta-analysis.,"Chauhan M; Bombell S; McGuire W; Archives of Disease in Childhood -- Fetal & Neonatal Edition, 2009 Jul; 94 (4): F257-9. (journal article - research, systematic review) ISSN: 1359-2998 PMID: 19066187 CINAHL AN: 201032886","Chauhan M(1), Bombell S, McGuire W.",
827,1451,26268,Development of executive function and attention in preterm children: a systematic review.,Development of executive function and attention in preterm children: a systematic review.,"Mulder H; Pitchford NJ; Hagger MS; Marlow N; Developmental Neuropsychology, 2009 Jul; 34 (4): 393-421. (journal article - meta analysis, research, systematic review) ISSN: 8756-5641 PMID: 20183707 CINAHL AN: 201057450","Mulder H(1), Pitchford NJ, Hagger MS, Marlow N.",
828,1453,25283,Meta-analysis on drugs in people with eating disorders.,Meta-analysis on drugs in people with eating disorders.,"Calero-Elvira A; Krug I; Davis K; LÃ_pez C; FernÃ¡ndez-Aranda F; Treasure J; European Eating Disorders Review, 2009 Jul-Aug; 17 (4): 243-59. (journal article - research, systematic review, tables/charts) ISSN: 1072-4133 PMID: 19475697 CINAHL AN: 201032631","Calero-Elvira A(1), Krug I, Davis K, LÃ_pez C, FernÃ¡ndez-Aranda F, Treasure J.",
829,1454,25297,Emotional distress following genetic testing for hereditary breast and ovarian cancer: a meta-analytic review.,Emotional distress following genetic testing for hereditary breast and ovarian cancer: a meta-analytic review.,"Hamilton JG; Lobel M; Moyer A; Health Psychology, 2009 Jul; 28 (4): 510-8. (journal article - research, systematic review, tables/charts) ISSN: 0278-6133 PMID: 19594276 CINAHL AN: 201035201","Hamilton JG(1), Lobel M, Moyer A.",
830,1458,25308,Music-assisted relaxation to improve sleep quality: meta-analysis.,Music-assisted relaxation to improve sleep quality: meta-analysis.,"de Niet G; Tiemens B; Lendemeijer B; Hutschemaekers G; Journal of Advanced Nursing, 2009 Jul; 65 (7): 1356-64. (journal article - research, systematic review, tables/charts) ISSN: 0309-2402 PMID: 19456998 CINAHL AN: 201030855","de Niet G(1), Tiemens B, Lendemeijer B, Hutschemaekers G.",
831,1459,25314,Effect of glucose-insulin-potassium infusion on mortality in critical care settings: a systematic review and meta-analysis.,Effect of glucose-insulin-potassium infusion on mortality in critical care settings: a systematic review and meta-analysis.,"Puskarich MA; Runyon MS; Trzeciak S; Kline JA; Jones AE; Journal of Clinical Pharmacology, 2009 Jul; 49 (7): 758-67. (journal article - research, systematic review, tables/charts) ISSN: 0091-2700 PMID: 19417124 CINAHL AN: 201033752","Puskarich MA(1), Runyon MS, Trzeciak S, Kline JA, Jones AE.",
832,1460,25323,Minimally invasive hip fracture surgery: are outcomes better?,Minimally invasive hip fracture surgery: are outcomes better?,"Kuzyk PR; Guy P; Kreder HJ; Zdero R; McKee MD; Schemitsch EH; Journal of Orthopaedic Trauma, 2009 Jul; 23 (6): 447-53. (journal article - research, systematic review) ISSN: 0890-5339 PMID: 19550233 CINAHL AN: 201033320","Kuzyk PR(1), Guy P, Kreder HJ, Zdero R, McKee MD, Schemitsch EH.",
833,1461,25325,Testosterone and depression: systematic review and meta-analysis.,Testosterone and depression: systematic review and meta-analysis.,"Zarrouf FA; Artz S; Griffith J; Sirbu C; Kommor M; Journal of Psychiatric Practice, 2009 Jul; 15 (4): 289-305. (journal article - research, systematic review, tables/charts) ISSN: 1527-4160 PMID: 19625884 CINAHL AN: 201036545","Zarrouf FA(1), Artz S, Griffith J, Sirbu C, Kommor M.",
834,1464,25363,Effects of task-oriented circuit class training on walking competency after stroke: a systematic review.,Effects of task-oriented circuit class training on walking competency after stroke: a systematic review.,"Wevers L; van de Port I; Vermue M; Mead G; Kwakkel G; Stroke (00392499), 2009 Jul; 40 (7): 2450-9. (journal article - research, systematic review) ISSN: 0039-2499 PMID: 19461035 CINAHL AN: 201033428","Wevers L(1), van de Port I, Vermue M, Mead G, Kwakkel G.",
835,1465,25184,Duration of chemotherapy for advanced non-small-cell lung cancer: a systematic review and meta-analysis of randomized trials.,Duration of chemotherapy for advanced non-small-cell lung cancer: a systematic review and meta-analysis of randomized trials.,"Soon YY; Stockler MR; Askie LM; Boyer MJ; Journal of Clinical Oncology, 2009 Jul 10; 27 (20): 3277-83. (journal article - research, systematic review) ISSN: 0732-183X PMID: 19470938 CINAHL AN: 201033614","Soon YY(1), Stockler MR, Askie LM, Boyer MJ.",
836,1466,25182,Recurrent cerebral ischemia in medically treated patent foramen ovale: a meta-analysis.,Recurrent cerebral ischemia in medically treated patent foramen ovale: a meta-analysis.,"Almekhlafi MA; Wilton SB; Rabi DM; Ghali WA; Lorenzetti DL; Hill MD; Neurology, 2009 Jul 14; 73 (2): 89-97. (journal article - research, systematic review) ISSN: 0028-3878 PMID: 19439720 CINAHL AN: 201034039","Almekhlafi MA(1), Wilton SB, Rabi DM, Ghali WA, Lorenzetti DL, Hill MD.",
837,1468,25362,Depression and anxiety in labor migrants and refugees -- a systematic review and meta-analysis.,Depression and anxiety in labor migrants and refugees--a systematic review and meta-analysis.,"Lindert J; Ehrenstein OS; Priebe S; Mielck A; BrÃ_hler E; Social Science & Medicine, 2009 Jul; 69 (2): 246-57. (journal article - meta analysis, research, systematic review) ISSN: 0277-9536 PMID: 19539414 CINAHL AN: 201050270","Lindert J(1), Ehrenstein OS, Priebe S, Mielck A, BrÃ_hler E.",
838,1469,25049,Meta-analysis of the effects of flaxseed interventions on blood lipids.,Meta-analysis of the effects of flaxseed interventions on blood lipids.,"Pan A; Yu D; Demark-Wahnefried W; Franco OH; Lin X; American Journal of Clinical Nutrition, 2009 Aug; 90 (2): 288-97. (journal article - research, systematic review) ISSN: 0002-9165 PMID: 19515737 CINAHL AN: 201035858","Pan A(1), Yu D, Demark-Wahnefried W, Franco OH, Lin X.",
839,1470,25052,Is low birth weight an antecedent of CKD in later life? A systematic review of observational studies.,Is low birth weight an antecedent of CKD in later life? A systematic review of observational studies.,"White SL; Perkovic V; Cass A; Chang CL; Poulter NR; Spector T; Haysom L; Craig JC; Salmi IA; Chadban SJ; et al.; American Journal of Kidney Diseases, 2009 Aug; 54 (2): 248-61. (journal article - research, systematic review) ISSN: 0272-6386 PMID: 19339091 CINAHL AN: 201034845","White SL(1), Perkovic V, Cass A, Chang CL, Poulter NR, Spector T, Haysom L, Craig JC, Salmi IA, Chadban SJ, Huxley RR.",
840,1471,25053,The efficacy of Quintero staging system to assess severity of twin-twin transfusion syndrome treated with laser therapy: a systematic review with meta-analysis.,The efficacy of Quintero staging system to assess severity of twin-twin transfusion syndrome treated with laser therapy: a systematic review with meta-analysis.,"Rossi AC; D'Addario V; American Journal of Perinatology, 2009 Aug; 26 (7): 537-44. (journal article - research, systematic review, tables/charts) ISSN: 0735-1631 PMID: 19283655 CINAHL AN: 201038200","Rossi AC(1), D'Addario V.",
841,1473,25085,Positioning to prevent or reduce shoulder range of motion impairments after stroke: a meta-analysis.,Positioning to prevent or reduce shoulder range of motion impairments after stroke: a meta-analysis.,"Borisova Y; Bohannon RW; Clinical Rehabilitation, 2009 Aug; 23 (8): 681-6. (journal article - research, systematic review, tables/charts) ISSN: 0269-2155 PMID: 19482894 CINAHL AN: 201036556","Borisova Y(1), Bohannon RW.",
842,1474,25086,Results of a meta-analysis comparing the tolerability of lercanidipine and other dihydropyridine calcium channel blockers [corrected] [published erratum appears in CLIN THER 2010 Feb;32(2):401].,Results of a meta-analysis comparing the tolerability of lercanidipine and other  dihydropyridine calcium channel blockers.,"Makarounas-Kirchmann K; Glover-Koudounas S; Ferrari P; Clinical Therapeutics, 2009 Aug; 31 (8): 1652-63. (journal article - research, systematic review, tables/charts) ISSN: 0149-2918 PMID: 19808126 CINAHL AN: 201043004","Makarounas-Kirchmann K(1), Glover-Koudounas S, Ferrari P.",
843,1479,25116,Cerebral protection devices reduce periprocedural strokes during carotid angioplasty and stenting: a systematic review of the current literature.,Cerebral protection devices reduce periprocedural strokes during carotid angioplasty and stenting: a systematic review of the current literature.,"Garg N; Karagiorgos N; Pisimisis GT; Sohal DPS; Longo GM; Johanning JM; Lynch TG; Pipinos II; Journal of Endovascular Therapy (Allen Press Publishing Services Inc.), 2009 Aug; 16 (4): 412-27. (journal article - research, systematic review, tables/charts) ISSN: 1526-6028 PMID: 19702342 CINAHL AN: 201039280","Garg N(1), Karagiorgos N, Pisimisis GT, Sohal DP, Longo GM, Johanning JM, Lynch TG, Pipinos II.",
844,1480,25122,Volumes of the hippocampus and amygdala in patients with borderline personality disorder: a meta-analysis.,Volumes of the hippocampus and amygdala in patients with borderline personality disorder: a meta-analysis.,"Nunes PM; Wenzel A; Borges KT; Porto CR; Caminha RM; de Oliveira IR; Journal of Personality Disorders, 2009 Aug; 23 (4): 333-45. (journal article - research, systematic review, tables/charts) ISSN: 0885-579X PMID: 19663654 CINAHL AN: 201037154","Nunes PM(1), Wenzel A, Borges KT, Porto CR, Caminha RM, de Oliveira IR.",
845,1481,25125,Birth weight as a risk factor for breast cancer: a meta-analysis of 18 epidemiological studies.,Birth weight as a risk factor for breast cancer: a meta-analysis of 18 epidemiological studies.,"Xu X; Dailey AB; Peoples-Sheps M; Talbott EO; Li N; Roth J; Journal of Women's Health (15409996), 2009 Aug; 18 (8): 1169-78. (journal article - research, systematic review, tables/charts) ISSN: 1540-9996 PMID: 19630536 CINAHL AN: 201037791","Xu X(1), Dailey AB, Peoples-Sheps M, Talbott EO, Li N, Roth J.",
846,1482,25141,Meta-analysis of neurobehavioral outcomes in very preterm and/or very low birth weight children.,Meta-analysis of neurobehavioral outcomes in very preterm and/or very low birth weight children.,"Aarnoudse-Moens CS; Weisglas-Kuperus N; van Goudoever JB; Oosterlaan J; Pediatrics, 2009 Aug; 124 (2): 717-28. (journal article - research, systematic review, tables/charts) ISSN: 0031-4005 PMID: 19651588 CINAHL AN: 201037494","Aarnoudse-Moens CS(1), Weisglas-Kuperus N, van Goudoever JB, Oosterlaan J.",
847,1485,25146,Attention deficit hyperactivity disorder (ADHD): gender- and age-related differences in neurocognition.,Attention deficit hyperactivity disorder (ADHD): gender- and age-related differences in neurocognition.,"BÃ¡lint S; Czobor P; KomlÃ_si S; MÃ©szÃ¡ros A; Simon V; Bitter I; Psychological Medicine, 2009 Aug; 39 (8): 1337-45. (journal article - research, systematic review, tables/charts) ISSN: 0033-2917 PMID: 18713489 CINAHL AN: 201035838","BÃ¡lint S(1), Czobor P, KomlÃ_si S, MÃ©szÃ¡ros A, Simon V, Bitter I.",
848,1488,25156,Rehabilitation after lumbar disc surgery: an update Cochrane review.,Rehabilitation after lumbar disc surgery: an update Cochrane review.,"Ostelo RW; Costa LO; Maher CG; de Vet HC; van Tulder MW; Spine (03622436), 2009 Aug 1; 34 (17): 1839-48. (journal article - meta analysis, research, systematic review) ISSN: 0362-2436 PMID: 19602996 CINAHL AN: 201053265","Ostelo RW(1), Costa LO, Maher CG, de Vet HC, van Tulder MW.",
849,1491,25157,Short-term evaluation of laparoscopy-assisted distal gastrectomy for predictive early gastric cancer: a meta-analysis of randomized controlled trials.,Short-term evaluation of laparoscopy-assisted distal gastrectomy for predictive early gastric cancer: a meta-analysis of randomized controlled trials.,"Chen X; Hu J; Yang K; Wang L; Lu Q; Surgical Laparoscopy, Endoscopy & Percutaneous Techniques, 2009 Aug; 19 (4): 277-84. (journal article - research, systematic review, tables/charts) ISSN: 1530-4515 PMID: 19692873 CINAHL AN: 201046076","Chen XZ(1), Hu JK, Yang K, Wang L, Lu QC.",
850,1496,24874,Homocysteine as a risk factor for cardiovascular disease in patients treated by dialysis: a meta-analysis.,Homocysteine as a risk factor for cardiovascular disease in patients treated by dialysis: a meta-analysis.,"Heinz J; Kropf S; Luley C; Dierkes J; American Journal of Kidney Diseases, 2009 Sep; 54 (3): 478-89. (journal article - research, systematic review) ISSN: 0272-6386 PMID: 19359080 CINAHL AN: 201037942","Heinz J(1), Kropf S, Luley C, Dierkes J.",
851,1497,24877,Atypical antipsychotic augmentation in major depressive disorder: a meta-analysis of placebo-controlled randomized trials.,Atypical antipsychotic augmentation in major depressive disorder: a meta-analysis of placebo-controlled randomized trials.,"Nelson JC; Papakostas GI; American Journal of Psychiatry, 2009 Sep; 166 (9): 980-91. (journal article - clinical trial, research, systematic review) ISSN: 0002-953X PMID: 19687129 CINAHL AN: 201039051","Nelson JC(1), Papakostas GI.",
852,1499,24892,Meta-analytic moderators of experimental exposure to media portrayals of women on female appearance satisfaction: social comparisons as automatic processes.,Meta-analytic moderators of experimental exposure to media portrayals of women on female appearance satisfaction: Social comparisons as automatic processes.,"Want SC; Body Image, 2009 Sep; 6 (4): 257-69. (journal article - research, systematic review, tables/charts) ISSN: 1740-1445 PMID: 19716779 CINAHL AN: 201043465",Want SC(1).,
853,1503,26277,NSAID use and the risk of Parkinson's disease: systematic review and meta-analysis of observational studies.,NSAID use and the risk of Parkinson's disease: systematic review and meta-analysis of observational studies.,"Samii A; Etminan M; Wiens MO; Jafari S; Drugs & Aging, 2009; 26 (9): 769-79. (journal article - research, systematic review, tables/charts) ISSN: 1170-229X PMID: 19728750 CINAHL AN: 201043462","Samii A(1), Etminan M, Wiens MO, Jafari S.",
854,1504,24916,"Comparison of the prevalence of bacterial enteropathogens, potentially zoonotic bacteria and bacterial resistance to antimicrobials in organic and conventional poultry, swine and beef production: a systematic review and meta-analysis.","Comparison of the prevalence of bacterial enteropathogens, potentially zoonotic bacteria and bacterial resistance to antimicrobials in organic and conventional poultry, swine and beef production: a systematic review and meta-analysis.","Young I; Rajic A; Wilhelm BJ; Waddell L; Parker S; McEwen SA; Epidemiology & Infection, 2009 Sep; 137 (9): 1217-32. (journal article - research, systematic review) ISSN: 0950-2688 PMID: 19379542 CINAHL AN: 201036421","Young I(1), RajiÄ‡ A, Wilhelm BJ, Waddell L, Parker S, McEwen SA.",
855,1507,24934,Material and social incentives to participation in behavioral interventions: a meta-analysis of gender disparities in enrollment and retention in experimental human immunodeficiency virus prevention interventions.,Material and social incentives to participation in behavioral interventions: a meta-analysis of gender disparities in enrollment and retention in experimental human immunodeficiency virus prevention interventions.,"Durantini MR; AlbarracÃ_n D; Health Psychology, 2009 Sep; 28 (5): 631-40. (journal article - research, systematic review, tables/charts) ISSN: 0278-6133 PMID: 19751090 CINAHL AN: 201042061","Durantini MR(1), AlbarracÃ_n D.",
856,1509,24941,Design characteristics that influence attrition in geriatric antidepressant trials: meta-analysis.,Design characteristics that influence attrition in geriatric antidepressant trials: meta-analysis.,"Heo M; Papademetriou E; Meyers BS; International Journal of Geriatric Psychiatry, 2009 Sep; 24 (9): 990-1001. (journal article - research, systematic review, tables/charts) ISSN: 0885-6230 PMID: 19263464 CINAHL AN: 201038516","Heo M(1), Papademetriou E, Meyers BS.",
857,1511,24955,The efficacy and dosage effect of corticosteroids for the prevention of atrial fibrillation after cardiac surgery: a systematic review.,The efficacy and dosage effect of corticosteroids for the prevention of atrial fibrillation after cardiac surgery: a systematic review.,"Marik PE; Fromm R; Journal of Critical Care, 2009 Sep; 24 (3): 458-63. (journal article - research, systematic review, tables/charts) ISSN: 0883-9441 PMID: 19327322 CINAHL AN: 201037773","Marik PE(1), Fromm R.",
858,1512,24957,Effects of exercise interventions on body image: a meta-analysis.,Effects of exercise interventions on body image: a meta-analysis.,"Campbell A; Hausenblas HA; Journal of Health Psychology, 2009 Sep; 14 (6): 780-93. (journal article - research, systematic review, tables/charts) ISSN: 1359-1053 PMID: 19687115 CINAHL AN: 201039923","Campbell A(1), Hausenblas HA.",
859,1513,24958,Meta-analysis of the effectiveness of individual intervention in the controlled multisensory environment (SnoezelenÂ®) for individuals with intellectual disability.,Meta-analysis of the effectiveness of individual intervention in the controlled multisensory environment (Snoezelen) for individuals with intellectual disability.,"Lotan M; Gold C; Journal of Intellectual & Developmental Disability, 2009 Sep; 34 (3): 207-15. (journal article - research, systematic review, tables/charts) ISSN: 1366-8250 PMID: 19681001 CINAHL AN: 201037796","Lotan M(1), Gold C.",
860,1515,24962,Occupational exposure to rock wool and glass wool and risk of cancers of the lung and the head and neck: a systematic review and meta-analysis.,Occupational exposure to rock wool and glass wool and risk of cancers of the lung and the head and neck: a systematic review and meta-analysis.,"Lipworth L; La Vecchia C; Bosetti C; McLaughlin JK; Journal of Occupational & Environmental Medicine, 2009 Sep; 51 (9): 1075-87. (journal article - research, systematic review, tables/charts) ISSN: 1076-2752 PMID: 19730396 CINAHL AN: 201042053","Lipworth L(1), La Vecchia C, Bosetti C, McLaughlin JK.",
